R00004	#fffdbc	W20
R00013	#fffdbc	W20
R00028	#fffdbc	W20
R00078	#fffdbc	W20
R00086	#a90426	W20
R00088	#fffdbc	W20
R00089	#fffdbc	W20
R00103	#fffdbc	W20
R00104	#a90426	W20
R00115	#a90426	W20
R00127	#87bdd9	W20
R00130	#87bdd9	W20
R00132	#87bdd9	W20
R00137	#fffdbc	W20
R00138	#fffdbc	W20
R00156	#87bdd9	W20
R00158	#87bdd9	W20
R00161	#87bdd9	W20
R00177	#87bdd9	W20
R00178	#fffdbc	W20
R00185	#87bdd9	W20
R00188	#87bdd9	W20
R00189	#87bdd9	W20
R00190	#fffdbc	W20
R00191	#fffdbc	W20
R00192	#87bdd9	W20
R00194	#fffdbc	W20
R00200	#fff1aa	W20
R00209	#87bdd9	W20
R00214	#333b97	W20
R00216	#a90426	W20
R00226	#a90426	W20
R00228	#fffdbc	W20
R00230	#fffdbc	W20
R00238	#87bdd9	W20
R00239	#fffdbc	W20
R00253	#fffdbc	W20
R00258	#a90426	W20
R00259	#fffdbc	W20
R00260	#87bdd9	W20
R00272	#fffdbc	W20
R00274	#a90426	W20
R00277	#fffdbc	W20
R00289	#333b97	W20
R00291	#a90426	W20
R00299	#a90426	W20
R00303	#fffdbc	W20
R00306	#fffdbc	W20
R00307	#fffdbc	W20
R00315	#fffdbc	W20
R00317	#fffdbc	W20
R00330	#fffdbc	W20
R00332	#87bdd9	W20
R00335	#fffdbc	W20
R00342	#f7fcce	W20
R00352	#333b97	W20
R00355	#87bdd9	W20
R00362	#ebf7e4	W20
R00371	#fffdbc	W20
R00401	#87bdd9	W20
R00405	#4d7fb9	W20
R00420	#87bdd9	W20
R00424	#fffdbc	W20
R00429	#fffdbc	W20
R00451	#fffdbc	W20
R00465	#fffdbc	W20
R00475	#fffdbc	W20
R00480	#87bdd9	W20
R00485	#fffdbc	W20
R00489	#87bdd9	W20
R00490	#fffdbc	W20
R00494	#fffdbc	W20
R00497	#fffdbc	W20
R00502	#a90426	W20
R00509	#87bdd9	W20
R00512	#87bdd9	W20
R00527	#fffdbc	W20
R00549	#87bdd9	W20
R00569	#fffdbc	W20
R00570	#87bdd9	W20
R00571	#87bdd9	W20
R00573	#fffdbc	W20
R00575	#87bdd9	W20
R00578	#87bdd9	W20
R00582	#fffdbc	W20
R00585	#feefa6	W20
R00586	#87bdd9	W20
R00610	#fffdbc	W20
R00617	#87bdd9	W20
R00654	#fffdbc	W20
R00658	#fff5af	W20
R00660	#87bdd9	W20
R00674	#fffdbc	W20
R00684	#fffdbc	W20
R00694	#fffdbc	W20
R00703	#ebf7e4	W20
R00704	#fffdbc	W20
R00713	#fffdbc	W20
R00714	#fffdbc	W20
R00717	#fffdbc	W20
R00719	#fffdbc	W20
R00720	#fffdbc	W20
R00722	#fffdbc	W20
R00734	#87bdd9	W20
R00742	#87bdd9	W20
R00750	#fffdbc	W20
R00751	#fffdbc	W20
R00754	#fffdbc	W20
R00765	#fffdbc	W20
R00782	#fffdbc	W20
R00801	#fffdbc	W20
R00816	#fffdbc	W20
R00835	#fff7b3	W20
R00837	#fffdbc	W20
R00838	#fffdbc	W20
R00841	#fffdbc	W20
R00842	#333b97	W20
R00844	#333b97	W20
R00856	#87bdd9	W20
R00867	#fffdbc	W20
R00868	#fffdbc	W20
R00894	#fffdbc	W20
R00897	#a90426	W20
R00899	#fffdbc	W20
R00921	#fffdbc	W20
R00939	#87bdd9	W20
R00943	#fffdbc	W20
R00945	#87bdd9	W20
R00946	#87bdd9	W20
R00948	#fffdbc	W20
R00965	#fffdbc	W20
R00966	#87bdd9	W20
R00974	#fffdbc	W20
R00985	#87bdd9	W20
R00986	#fffdbc	W20
R00996	#fffdbc	W20
R00999	#fffdbc	W20
R01001	#fffdbc	W20
R01011	#fffdbc	W20
R01015	#fff5af	W20
R01016	#fffdbc	W20
R01061	#fff5af	W20
R01071	#fffdbc	W20
R01072	#fffdbc	W20
R01073	#87bdd9	W20
R01080	#fffdbc	W20
R01082	#87bdd9	W20
R01083	#fffdbc	W20
R01086	#87bdd9	W20
R01090	#87bdd9	W20
R01092	#a90426	W20
R01100	#a90426	W20
R01121	#87bdd9	W20
R01123	#87bdd9	W20
R01127	#fffdbc	W20
R01130	#fffdbc	W20
R01132	#fffdbc	W20
R01135	#fffdbc	W20
R01137	#fffdbc	W20
R01147	#fffdbc	W20
R01150	#87bdd9	W20
R01158	#fffdbc	W20
R01174	#87bdd9	W20
R01181	#87bdd9	W20
R01185	#fffdbc	W20
R01213	#fffdbc	W20
R01214	#a90426	W20
R01220	#87bdd9	W20
R01224	#333b97	W20
R01226	#87bdd9	W20
R01229	#87bdd9	W20
R01231	#fffdbc	W20
R01244	#fffdbc	W20
R01245	#fffdbc	W20
R01251	#fffdbc	W20
R01279	#fffdbc	W20
R01280	#87bdd9	W20
R01286	#fffdbc	W20
R01287	#333b97	W20
R01288	#a90426	W20
R01291	#fffdbc	W20
R01333	#fffdbc	W20
R01388	#fffdbc	W20
R01392	#feefa6	W20
R01397	#fffdbc	W20
R01398	#87bdd9	W20
R01402	#fffdbc	W20
R01432	#fffdbc	W20
R01446	#fffdbc	W20
R01466	#fffdbc	W20
R01470	#fffdbc	W20
R01512	#fff5af	W20
