R00004	#fffdbc	W20
R00013	#fffdbc	W20
R00028	#fffdbc	W20
R00066	#fffdbc	W20
R00078	#fffdbc	W20
R00086	#a90426	W20
R00088	#fffdbc	W20
R00093	#fffdbc	W20
R00103	#fffdbc	W20
R00104	#a90426	W20
R00114	#fffdbc	W20
R00115	#fffdbc	W20
R00127	#87bdd9	W20
R00130	#87bdd9	W20
R00132	#fece7f	W20
R00137	#fffdbc	W20
R00150	#87bdd9	W20
R00156	#87bdd9	W20
R00158	#87bdd9	W20
R00161	#87bdd9	W20
R00174	#a90426	W20
R00177	#fffdbc	W20
R00183	#fffdbc	W20
R00185	#87bdd9	W20
R00188	#87bdd9	W20
R00189	#87bdd9	W20
R00190	#fffdbc	W20
R00192	#87bdd9	W20
R00194	#fffdbc	W20
R00200	#fffdbc	W20
R00209	#fffdbc	W20
R00212	#feefa6	W20
R00214	#fffdbc	W20
R00220	#a90426	W20
R00223	#a90426	W20
R00226	#fffdbc	W20
R00228	#fee597	W20
R00230	#87bdd9	W20
R00235	#fffdbc	W20
R00238	#87bdd9	W20
R00239	#fffdbc	W20
R00253	#c3e5f0	W20
R00258	#87bdd9	W20
R00259	#fffdbc	W20
R00260	#87bdd9	W20
R00261	#fffdbc	W20
R00267	#fffdbc	W20
R00272	#fffdbc	W20
R00274	#a90426	W20
R00277	#fffdbc	W20
R00289	#87bdd9	W20
R00291	#fffdbc	W20
R00299	#fffdbc	W20
R00303	#fffdbc	W20
R00306	#fffdbc	W20
R00307	#feefa6	W20
R00315	#87bdd9	W20
R00317	#fffdbc	W20
R00330	#fdfec2	W20
R00332	#87bdd9	W20
R00335	#fffdbc	W20
R00342	#fffdbc	W20
R00344	#a90426	W20
R00351	#fffdbc	W20
R00355	#fffdbc	W20
R00366	#fffdbc	W20
R00371	#fffdbc	W20
R00396	#fffdbc	W20
R00400	#a90426	W20
R00401	#87bdd9	W20
R00405	#fffdbc	W20
R00408	#fffdbc	W20
R00409	#fffdbc	W20
R00414	#fffdbc	W20
R00420	#87bdd9	W20
R00424	#fffdbc	W20
R00426	#fffdbc	W20
R00429	#fffdbc	W20
R00430	#fdfec2	W20
R00451	#fffdbc	W20
R00475	#fffdbc	W20
R00480	#87bdd9	W20
R00485	#fffdbc	W20
R00502	#fffdbc	W20
R00509	#87bdd9	W20
R00511	#fffdbc	W20
R00512	#87bdd9	W20
R00513	#fffdbc	W20
R00515	#fffdbc	W20
R00517	#fffdbc	W20
R00549	#87bdd9	W20
R00552	#fffdbc	W20
R00569	#fffdbc	W20
R00571	#87bdd9	W20
R00573	#fffdbc	W20
R00575	#fffdbc	W20
R00578	#87bdd9	W20
R00582	#fffdbc	W20
R00585	#fffdbc	W20
R00586	#87bdd9	W20
R00604	#fffdbc	W20
R00617	#87bdd9	W20
R00658	#eff9dd	W20
R00660	#87bdd9	W20
R00669	#fffdbc	W20
R00674	#fffdbc	W20
R00684	#fffdbc	W20
R00694	#87bdd9	W20
R00703	#feefa6	W20
R00704	#fffdbc	W20
R00705	#fffdbc	W20
R00717	#fffdbc	W20
R00719	#fffdbc	W20
R00720	#fffdbc	W20
R00722	#fffdbc	W20
R00724	#a90426	W20
R00734	#87bdd9	W20
R00742	#87bdd9	W20
R00746	#a90426	W20
R00751	#fffdbc	W20
R00754	#a90426	W20
R00765	#fffdbc	W20
R00782	#fffdbc	W20
R00787	#fffdbc	W20
R00801	#fffdbc	W20
R00805	#fffdbc	W20
R00829	#fffdbc	W20
R00835	#87bdd9	W20
R00837	#fffdbc	W20
R00838	#fffdbc	W20
R00841	#fffdbc	W20
R00842	#333b97	W20
R00844	#333b97	W20
R00847	#fffdbc	W20
R00856	#87bdd9	W20
R00858	#cdeaf3	W20
R00867	#feefa6	W20
R00875	#fffdbc	W20
R00897	#e1f3f6	W20
R00899	#fffdbc	W20
R00907	#fffdbc	W20
R00921	#fffdbc	W20
R00931	#fffdbc	W20
R00939	#87bdd9	W20
R00945	#87bdd9	W20
R00946	#cdeaf3	W20
R00948	#fffdbc	W20
R00962	#fffdbc	W20
R00963	#fffdbc	W20
R00964	#fffdbc	W20
R00965	#fffdbc	W20
R00966	#fffdbc	W20
R00968	#333b97	W20
R00970	#a90426	W20
R00974	#87bdd9	W20
R00985	#87bdd9	W20
R00986	#fffdbc	W20
R00996	#fffdbc	W20
R00999	#fffdbc	W20
R01001	#fffdbc	W20
R01011	#fffdbc	W20
R01012	#fffdbc	W20
R01015	#f1fad9	W20
R01016	#fffdbc	W20
R01034	#fffdbc	W20
R01041	#fffdbc	W20
R01061	#eff9dd	W20
R01066	#fffdbc	W20
R01068	#d4edf4	W20
R01069	#feefa6	W20
R01071	#fffdbc	W20
R01072	#fffdbc	W20
R01073	#87bdd9	W20
R01083	#fffdbc	W20
R01086	#87bdd9	W20
R01090	#87bdd9	W20
R01092	#fffdbc	W20
R01100	#fffdbc	W20
R01121	#87bdd9	W20
R01123	#87bdd9	W20
R01127	#fffdbc	W20
R01130	#fffdbc	W20
R01132	#fffdbc	W20
R01134	#fffdbc	W20
R01135	#fffdbc	W20
R01147	#fffdbc	W20
R01150	#87bdd9	W20
R01158	#fffdbc	W20
R01174	#fffdbc	W20
R01177	#fffdbc	W20
R01181	#fffdbc	W20
R01183	#fffdbc	W20
