R00004	#c21c27	W20
R00013	#333b97	W20
R00028	#fffdbc	W20
R00086	#fffdbc	W20
R00088	#fffdbc	W20
R00089	#fffdbc	W20
R00103	#fffdbc	W20
R00104	#a90426	W20
R00112	#fffdbc	W20
R00115	#a90426	W20
R00127	#a90426	W20
R00130	#87bdd9	W20
R00132	#87bdd9	W20
R00137	#fffdbc	W20
R00150	#87bdd9	W20
R00156	#9dcee3	W20
R00158	#9dcee3	W20
R00161	#87bdd9	W20
R00174	#fffdbc	W20
R00177	#87bdd9	W20
R00183	#fffdbc	W20
R00185	#fffdbc	W20
R00188	#87bdd9	W20
R00189	#87bdd9	W20
R00190	#fffdbc	W20
R00191	#fffdbc	W20
R00192	#fffdbc	W20
R00194	#fffdbc	W20
R00199	#fffdbc	W20
R00200	#fca55d	W20
R00209	#fffdbc	W20
R00228	#fffbb9	W20
R00230	#a90426	W20
R00238	#a90426	W20
R00253	#fffdbc	W20
R00258	#fffdbc	W20
R00260	#e24731	W20
R00277	#333b97	W20
R00289	#87bdd9	W20
R00291	#fffdbc	W20
R00299	#a90426	W20
R00303	#fffdbc	W20
R00306	#fffdbc	W20
R00315	#a90426	W20
R00317	#fffdbc	W20
R00332	#a90426	W20
R00335	#fffdbc	W20
R00342	#fffdbc	W20
R00362	#fffdbc	W20
R00401	#feefa6	W20
R00405	#fffdbc	W20
R00408	#fffdbc	W20
R00414	#fffdbc	W20
R00420	#87bdd9	W20
R00424	#fffdbc	W20
R00429	#fffdbc	W20
R00451	#fffdbc	W20
R00475	#333b97	W20
R00480	#d4edf4	W20
R00483	#87bdd9	W20
R00485	#fffdbc	W20
R00502	#fffdbc	W20
R00509	#87bdd9	W20
R00511	#fffdbc	W20
R00512	#333b97	W20
R00513	#fffdbc	W20
R00515	#fffdbc	W20
R00517	#fffdbc	W20
R00549	#87bdd9	W20
R00552	#fffdbc	W20
R00569	#fffdbc	W20
R00571	#87bdd9	W20
R00573	#fffdbc	W20
R00575	#fffdbc	W20
R00578	#fffdbc	W20
R00586	#87bdd9	W20
R00588	#a90426	W20
R00617	#87bdd9	W20
R00650	#fffdbc	W20
R00658	#fff5af	W20
R00660	#e24731	W20
R00670	#fffdbc	W20
R00684	#fffdbc	W20
R00694	#fffdbc	W20
R00703	#fffdbc	W20
R00704	#fffdbc	W20
R00705	#fffdbc	W20
R00713	#fffdbc	W20
R00714	#fffdbc	W20
R00719	#fffdbc	W20
R00720	#fffdbc	W20
R00742	#87bdd9	W20
R00746	#fffdbc	W20
R00751	#fffdbc	W20
R00754	#fffdbc	W20
R00765	#fffdbc	W20
R00801	#fffdbc	W20
R00829	#fffdbc	W20
R00835	#87bdd9	W20
R00837	#fffdbc	W20
R00838	#fffdbc	W20
R00841	#fffdbc	W20
R00842	#333b97	W20
R00844	#a90426	W20
R00847	#fffdbc	W20
R00856	#87bdd9	W20
R00858	#87bdd9	W20
R00867	#fffdbc	W20
R00875	#fffdbc	W20
R00883	#fffdbc	W20
R00897	#fffdbc	W20
R00899	#fffdbc	W20
R00921	#fffdbc	W20
R00939	#87bdd9	W20
R00943	#fffdbc	W20
R00945	#87bdd9	W20
R00946	#cdeaf3	W20
R00948	#fffdbc	W20
R00962	#fffdbc	W20
R00963	#fffdbc	W20
R00964	#fffdbc	W20
R00965	#fffdbc	W20
R00966	#87bdd9	W20
R00968	#fffdbc	W20
R00970	#fffdbc	W20
R01011	#fffdbc	W20
R01015	#fff5af	W20
R01016	#fffdbc	W20
R01028	#fffdbc	W20
R01030	#fffdbc	W20
R01034	#fffdbc	W20
R01061	#fff5af	W20
R01068	#fff7b3	W20
R01069	#fffdbc	W20
R01072	#87bdd9	W20
R01080	#fffdbc	W20
R01082	#fffdbc	W20
R01083	#87bdd9	W20
R01086	#87bdd9	W20
R01090	#87bdd9	W20
R01092	#fffdbc	W20
R01100	#fffdbc	W20
R01103	#fffdbc	W20
R01121	#a90426	W20
R01123	#a90426	W20
R01127	#fffdbc	W20
R01130	#fffdbc	W20
R01132	#fffdbc	W20
R01134	#87bdd9	W20
R01135	#87bdd9	W20
R01147	#fffdbc	W20
R01150	#e24731	W20
R01174	#fffdbc	W20
R01177	#fffdbc	W20
R01181	#fffdbc	W20
R01183	#fffdbc	W20
R01193	#fffdbc	W20
R01195	#fffdbc	W20
R01210	#a90426	W20
R01214	#87bdd9	W20
R01218	#a90426	W20
R01220	#333b97	W20
R01221	#fffdbc	W20
R01224	#fffdbc	W20
R01226	#fffdbc	W20
R01227	#fffdbc	W20
R01229	#87bdd9	W20
R01230	#a90426	W20
R01231	#fffdbc	W20
R01245	#fffdbc	W20
R01268	#fffdbc	W20
R01279	#fffdbc	W20
R01280	#87bdd9	W20
R01286	#fffdbc	W20
R01287	#87bdd9	W20
R01291	#fffdbc	W20
R01302	#87bdd9	W20
R01326	#fffdbc	W20
R01333	#87bdd9	W20
R01334	#fffdbc	W20
R01388	#a90426	W20
R01397	#fffdbc	W20
R01398	#87bdd9	W20
R01411	#87bdd9	W20
R01419	#fffdbc	W20
R01422	#fffdbc	W20
R01465	#fffdbc	W20
R01466	#fffdbc	W20
R01470	#fffdbc	W20
R01486	#fffdbc	W20
R01487	#fffdbc	W20
R01512	#fff5af	W20
R01514	#fffdbc	W20
R01518	#fffbb9	W20
R01528	#87bdd9	W20
R01529	#87bdd9	W20
R01547	#a90426	W20
R01555	#fffdbc	W20
R01557	#fffdbc	W20
R01560	#fffdbc	W20
R01562	#fffdbc	W20
R01567	#fffdbc	W20
R01569	#87bdd9	W20
R01570	#87bdd9	W20
R01577	#fffdbc	W20
R01624	#fffdbc	W20
R01626	#fffdbc	W20
R01648	#fffdbc	W20
R01651	#87bdd9	W20
R01655	#87bdd9	W20
R01658	#a90426	W20
R01663	#333b97	W20
R01664	#fffdbc	W20
R01665	#333b97	W20
R01666	#fffdbc	W20
R01668	#fffdbc	W20
R01676	#fffdbc	W20
R01698	#fffdbc	W20
R01714	#87bdd9	W20
R01737	#fffdbc	W20
R01745	#333b97	W20
R01763	#fffdbc	W20
R01770	#fffdbc	W20
R01771	#fffdbc	W20
R01775	#87bdd9	W20
R01776	#87bdd9	W20
R01777	#fffdbc	W20
R01818	#fffdbc	W20
R01819	#fffdbc	W20
R01826	#87bdd9	W20
R01829	#fffdbc	W20
R01830	#87bdd9	W20
R01857	#87bdd9	W20
R01870	#fffdbc	W20
R01876	#87bdd9	W20
R01877	#fffdbc	W20
R01878	#87bdd9	W20
R01908	#fffdbc	W20
R01909	#fffdbc	W20
R01911	#fffdbc	W20
