donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	L_kefiranofaciens	M_lys__L_e	0.0011628639250178758	0.007900164509897258	0.78	kefir	MILK
environment	L_lactis	M_asn__L_e	0.0011442800386763413	0.008661071944058489	1.0	kefir	MILK
environment	L_mesenteroides	M_gln__L_e	0.0010418453591933715	0.007128891000001857	1.0	kefir	MILK
A_fabarum	environment	M_4abut_e	0.0010329201692932195	0.010016739520334871	0.06	kefir	MILK
L_lactis	L_mesenteroides	M_rib__D_e	0.0010200898464767475	0.00679473285714498	0.07	kefir	MILK
L_kefiranofaciens	A_fabarum	M_ptrc_e	0.0009986615438487684	0.011075712389136228	0.16	kefir	MILK
environment	L_mesenteroides	M_ala__L_e	0.0009348077412901915	0.010492505477879735	0.17	kefir	MILK
A_fabarum	L_kefiranofaciens	M_acald_e	0.0009297319162127523	0.021105136524065714	0.55	kefir	MILK
environment	L_kefiranofaciens	M_gua_e	0.0009147395702043754	0.0060528312500000014	1.0	kefir	MILK
environment	L_lactis	M_ala__L_e	0.0009098861130179166	0.010212779166666667	0.03	kefir	MILK
A_fabarum	environment	M_nh4_e	0.0008310542315448567	0.04607164929870647	0.98	kefir	MILK
A_fabarum	L_kefiranofaciens	M_arg__L_e	0.0008073797325421391	0.0046081135000005085	0.05	kefir	MILK
environment	L_kefiranofaciens	M_gly_e	0.0008027916919605888	0.010694421098661835	0.99	kefir	MILK
environment	L_kefiranofaciens	M_thr__L_e	0.000780846427599175	0.006555190512321943	1.0	kefir	MILK
environment	L_kefiranofaciens	M_phe__L_e	0.0007652246765695554	0.004632427500001848	1.0	kefir	MILK
environment	L_lactis	M_leu__L_e	0.0007561067978003882	0.005764221724999985	1.0	kefir	MILK
environment	A_fabarum	M_pro__L_e	0.0006996851529057391	0.0060773433959124415	0.96	kefir	MILK
environment	L_kefiranofaciens	M_ade_e	0.000690148464262493	0.005107424999999948	1.0	kefir	MILK
L_lactis	environment	M_3mba_e	0.0006703683809181817	0.0066292112499993245	0.02	kefir	MILK
environment	A_fabarum	M_ins_e	0.0006587725287482929	0.0024560389789352426	1.0	kefir	MILK
environment	L_mesenteroides	M_asp__L_e	0.0006537376150929781	0.004949014645522546	0.67	kefir	MILK
environment	L_kefiranofaciens	M_pro__L_e	0.0006362521063875	0.005526374999999999	1.0	kefir	MILK
environment	L_lactis	M_lys__L_e	0.0006313943634862501	0.0042895125	1.0	kefir	MILK
environment	L_kefiranofaciens	M_tyr__L_e	0.0006246278559400005	0.003447400000000003	1.0	kefir	MILK
environment	L_lactis	M_xan_e	0.0006203584525288198	0.00407833540000026	1.0	kefir	MILK
environment	L_kefiranofaciens	M_ala__L_e	0.0006187762260147434	0.0069452922288391495	0.09	kefir	MILK
L_kefiranofaciens	environment	M_nh4_e	0.0005917231872424465	0.03280371139422487	0.13	kefir	MILK
environment	L_mesenteroides	M_asn__L_e	0.0005343298403320749	0.0040443501875001885	1.0	kefir	MILK
A_fabarum	L_lactis	M_arg__L_e	0.0005328974461154761	0.0030415079999947265	0.05	kefir	MILK
environment	L_mesenteroides	M_lys__L_e	0.0005051154907889568	0.0034316099999997063	1.0	kefir	MILK
environment	A_fabarum	M_orn_e	0.0004984189511216268	0.003742771942304832	0.13	kefir	MILK
L_kefiranofaciens	L_lactis	M_arg__L_e	0.0004971798998831578	0.002837650384617383	0.13	kefir	MILK
L_kefiranofaciens	environment	M_2mba_e	0.0004960653546910469	0.004905544658220025	0.34	kefir	MILK
